             t,             x,             y,             z,       particle
    4.425531915,     7.04957113,    10.28913257,    19.45807822,              8
    4.435544431,    7.373527274,    10.78880775,    19.68061458,              8
    4.445556946,    7.715055321,    11.29336515,    19.97369873,              8
    4.455569462,    8.072886304,    11.79707849,    20.34204837,              8
    4.465581977,    8.445305522,    12.29298205,    20.78999477,              8
    4.475594493,    8.830073175,     12.7727994,    21.32118015,              8
    4.485607009,    9.224345798,    13.22692391,    21.93818461,              8
    4.495619524,    9.624603609,    13.64447277,    22.64208494,              8
     4.50563204,    10.02659053,    14.01343828,    23.43195673,              8
    4.515644556,     10.4252753,    14.32095937,     24.3043441,              8
    4.525657071,    10.81484371,    14.55373203,    25.25273692,              8
    4.535669587,    11.18873254,    14.69856785,    26.26711266,              8
    4.545682103,    11.53971607,    14.74309489,     27.3336156,              8
    4.555694618,    11.86005395,     14.6765745,    28.43445628,              8
    4.565707134,    12.14170601,    14.49078319,    29.54811248,              8
     4.57571965,    12.37661373,    14.18088399,      30.649896,              8
    4.585732165,    12.55704075,     13.7461916,    31.71291251,              8
    4.595744681,    12.67595584,     13.1907265,    32.70938775,              8
    4.605757196,     12.7274329,    12.52345971,    33.61226814,              8
    4.615769712,    12.70703558,    11.75817592,    34.39694245,              8
    4.625782228,    12.61214962,    10.91292582,    35.04288696,              8
    4.635794743,    12.44222724,    10.00909319,    35.53502682,              8
    4.645807259,    12.19891383,    9.070158515,     35.8646356,              8
    4.655819775,     11.8860383,     8.12028677,    36.02966108,              8
     4.66583229,    11.50946315,    7.182892371,    36.03445409,              8
    4.675844806,    11.07680607,    6.279334402,    35.88896707,              8
    4.685857322,     10.5970589,    5.427869733,     35.6075613,              8
    4.695869837,    10.08013999,    4.642947791,    35.20760179,              8
    4.705882353,    9.536420766,    3.934878051,    34.70802235,              8
    4.715894869,    8.976266495,    3.309850883,    34.12801661,              8
    4.725907384,    8.409624934,    2.770252784,    33.48596351,              8
      4.7359199,    7.845687719,    2.315193425,    32.79864312,              8
    4.745932416,    7.292638289,    1.941154885,    32.08074945,              8
    4.755944931,    6.757489949,    1.642680387,    31.34467057,              8
    4.765957447,    6.246008993,     1.41303597,    30.60048429,              8
    4.775969962,     5.76271169,    1.244798834,    29.85610865,              8
    4.785982478,    5.310920405,     1.13034621,    29.11754904,              8
    4.795994994,    4.892862985,    1.062235683,      28.389192,              8
    4.806007509,    4.509800255,    1.033480518,     27.6741077,              8
    4.816020025,    4.162168281,    1.037731605,    26.97433501,              8
    4.826032541,    3.849724614,    1.069381666,    26.29113389,              8
    4.836045056,    3.571690319,    1.123608478,      25.625198,              8
    4.846057572,    3.326882135,    1.196372915,    24.97682666,              8
    4.856070088,    3.113831213,    1.284385642,    24.34605899,              8
    4.866082603,    2.930886656,    1.385053814,    23.73277516,              8
    4.876095119,    2.776303372,    1.496416689,    23.13677053,              8
    4.886107635,    2.648314703,    1.617076798,    22.55780853,              8
     4.89612015,    2.545190913,    1.746131425,    21.99565731,              8
    4.906132666,    2.465284964,    1.883107616,    21.45011482,              8
    4.916145181,    2.407067229,    2.027902724,    20.92102601,              8
    4.926157697,    2.369150779,     2.18073158,     20.4082949,              8
    4.936170213,    2.350308859,    2.342080751,     19.9118939,              8
    4.946182728,    2.349486048,    2.512669808,    19.43187205,              8
    4.956195244,    2.365804424,    2.693419233,    18.96836337,              8
     4.96620776,    2.398565905,    2.885424349,    18.52159639,              8
    4.976220275,    2.447251749,    3.089934473,    18.09190549,              8
    4.986232791,    2.511520022,    3.308336416,    17.67974473,              8
    4.996245307,    2.591201661,    3.542141322,    17.28570468,              8
    5.006257822,    2.686295627,    3.792973802,    16.91053277,              8
    5.016270338,    2.796963445,    4.062562177,     16.5551577,              8
    5.026282854,    2.923523318,    4.352728566,    16.22071837,              8
    5.036295369,    3.066443843,    4.665377386,    15.90859808,              8
    5.046307885,    3.226337197,     5.00248063,    15.62046442,              8
    5.056320401,     3.40395154,    5.366058029,     15.3583156,              8
    5.066332916,    3.600162189,    5.758149858,    15.12453368,              8
    5.076345432,    3.815960956,    6.180779766,    14.92194527,              8
    5.086357947,    4.052442837,     6.63590447,    14.75388964,              8
    5.096370463,       4.310789,    7.125346652,    14.62429428,              8
    5.106382979,    4.592244766,    7.650706733,    14.53775671,              8
    5.116395494,    4.898090962,    8.213248633,    14.49963062,              8
     5.12640801,    5.229606729,    8.813754091,    14.51611281,              8
    5.136420526,    5.588021466,    9.452339824,    14.59432494,              8
    5.146433041,    5.974453302,    10.12823198,    14.74238126,              8
    5.156445557,    6.389831169,    10.83949323,    14.96942918,              8
    5.166458073,    6.834797375,    11.58270004,    15.28564419,              8
    5.176470588,    7.309587642,    12.35257155,    15.70215393,              8
    5.186483104,    7.813886033,    13.14155781,    16.23085871,              8
     5.19649562,    8.346653211,    13.93940507,     16.8841075,              8
    5.206508135,    8.905928397,    14.73272902,    17.67418169,              8
    5.216520651,    9.488608459,     15.5046447,    18.61253565,              8
    5.226533166,    10.09021208,    16.23452274,    19.70874763,              8
    5.236545682,    10.70464315,    16.89796366,    20.96915262,              8
    5.246558198,     11.3239752,    17.46710025,    22.39516679,              8
    5.256570713,     11.9382877,    17.91134597,    23.98137726,              8
    5.266583229,    12.53559353,    18.19869333,    25.71356297,              8
    5.276595745,    13.10190351,    18.29762158,    27.56692529,              8
